,Experiment,N,V
0,0,0,0.19
1,0,1,0.29
2,0,2,0.37
3,0,3,0.45
4,0,4,0.53
5,0,5,0.6
6,0,6,0.68
7,0,7,0.76
8,0,8,0.81
9,0,9,0.88
10,0,10,0.96
11,0,11,1.01
12,0,12,1.08
13,0,13,1.14
14,0,14,1.19
15,0,15,1.26
16,0,16,1.32
17,0,17,1.37
18,0,18,1.42
19,0,19,1.47
20,0,20,1.51
21,0,21,1.55
22,0,22,1.6
23,0,23,1.63
24,0,24,1.68
25,0,25,1.73
26,0,26,1.78
27,0,27,1.82
28,0,28,1.86
29,0,29,1.89
30,0,30,1.91
31,0,31,1.94
32,0,32,1.94
33,0,33,1.96
34,0,34,1.96
35,0,35,1.97
36,0,36,1.99
37,0,37,1.99
38,0,38,1.99
39,0,39,1.99
40,0,40,1.99
41,0,41,1.99
42,0,42,1.99
43,0,43,1.99
44,0,44,1.99
45,0,45,1.99
46,0,46,1.99
47,0,47,1.99
48,0,48,1.99
49,0,49,1.99
