,Experiment,N,ADC
0,0,0,15
1,0,1,23
2,0,2,28
3,0,3,31
4,0,4,39
5,0,5,43
6,0,6,48
7,0,7,53
8,0,8,57
9,0,9,62
10,0,10,63
11,0,11,71
12,0,12,75
13,0,13,79
14,0,14,83
15,0,15,87
16,0,16,91
17,0,17,95
18,0,18,99
19,0,19,103
20,0,20,106
21,0,21,109
22,0,22,113
23,0,23,115
24,0,24,119
25,0,25,121
26,0,26,124
27,0,27,128
28,0,28,131
29,0,29,134
30,0,30,137
31,0,31,139
32,0,32,142
33,0,33,143
34,0,34,145
35,0,35,147
36,0,36,147
37,0,37,148
38,0,38,149
39,0,39,149
40,0,40,149
41,0,41,150
42,0,42,150
43,0,43,150
44,0,44,150
45,0,45,150
46,0,46,150
47,0,47,151
48,0,48,151
49,0,49,151
50,0,50,151
51,0,51,151
52,0,52,151
53,1,0,15
54,1,1,23
55,1,2,28
56,1,3,31
57,1,4,39
58,1,5,43
59,1,6,48
60,1,7,53
61,1,8,57
62,1,9,62
63,1,10,63
64,1,11,71
65,1,12,75
66,1,13,79
67,1,14,83
68,1,15,87
69,1,16,91
70,1,17,95
71,1,18,99
72,1,19,103
73,1,20,106
74,1,21,109
75,1,22,113
76,1,23,115
77,1,24,119
78,1,25,121
79,1,26,124
80,1,27,128
81,1,28,131
82,1,29,134
83,1,30,137
84,1,31,139
85,1,32,142
86,1,33,143
87,1,34,145
88,1,35,147
89,1,36,147
90,1,37,148
91,1,38,149
92,1,39,149
93,1,40,149
94,1,41,150
95,1,42,150
96,1,43,150
97,1,44,150
98,1,45,150
99,1,46,150
100,1,47,151
101,1,48,151
102,1,49,151
103,1,50,151
104,1,51,151
105,2,0,15
106,2,1,23
107,2,2,28
108,2,3,31
109,2,4,39
110,2,5,43
111,2,6,48
112,2,7,53
113,2,8,57
114,2,9,62
115,2,10,63
116,2,11,71
117,2,12,75
118,2,13,79
119,2,14,83
120,2,15,87
121,2,16,91
122,2,17,95
123,2,18,99
124,2,19,103
125,2,20,106
126,2,21,109
127,2,22,113
128,2,23,115
129,2,24,119
130,2,25,121
131,2,26,124
132,2,27,128
133,2,28,131
134,2,29,134
135,2,30,137
136,2,31,139
137,2,32,142
138,2,33,143
139,2,34,145
140,2,35,147
141,2,36,147
142,2,37,148
143,2,38,149
144,2,39,149
145,2,40,149
146,2,41,150
147,2,42,150
148,2,43,150
149,2,44,150
150,2,45,150
151,2,46,150
152,2,47,151
153,2,48,151
154,2,49,151
155,3,0,15
156,3,1,23
157,3,2,28
158,3,3,31
159,3,4,39
160,3,5,43
161,3,6,48
162,3,7,53
163,3,8,57
164,3,9,62
165,3,10,63
166,3,11,71
167,3,12,75
168,3,13,79
169,3,14,83
170,3,15,87
171,3,16,91
172,3,17,95
173,3,18,99
174,3,19,103
175,3,20,106
176,3,21,109
177,3,22,113
178,3,23,115
179,3,24,119
180,3,25,121
181,3,26,124
182,3,27,128
183,3,28,131
184,3,29,134
185,3,30,137
186,3,31,139
187,3,32,142
188,3,33,143
189,3,34,145
190,3,35,147
191,3,36,147
192,3,37,148
193,3,38,149
194,3,39,149
195,3,40,149
196,3,41,150
197,3,42,150
198,3,43,150
199,3,44,150
200,3,45,150
201,3,46,150
202,3,47,151
203,3,48,151
204,3,49,151
205,3,50,151
206,4,0,15
207,4,1,23
208,4,2,28
209,4,3,31
210,4,4,39
211,4,5,43
212,4,6,48
213,4,7,53
214,4,8,57
215,4,9,62
216,4,10,63
217,4,11,71
218,4,12,75
219,4,13,79
220,4,14,83
221,4,15,87
222,4,16,91
223,4,17,95
224,4,18,99
225,4,19,103
226,4,20,106
227,4,21,109
228,4,22,113
229,4,23,115
230,4,24,119
231,4,25,121
232,4,26,124
233,4,27,128
234,4,28,131
235,4,29,134
236,4,30,137
237,4,31,139
238,4,32,142
239,4,33,143
240,4,34,145
241,4,35,147
242,4,36,147
243,4,37,148
244,4,38,149
245,4,39,149
246,4,40,149
247,4,41,150
248,4,42,150
249,4,43,150
250,4,44,150
251,4,45,150
252,4,46,150
253,5,0,15
254,5,1,23
255,5,2,28
256,5,3,31
257,5,4,39
258,5,5,43
259,5,6,48
260,5,7,53
261,5,8,57
262,5,9,62
263,5,10,63
264,5,11,71
265,5,12,75
266,5,13,79
267,5,14,83
268,5,15,87
269,5,16,91
270,5,17,95
271,5,18,99
272,5,19,103
273,5,20,106
274,5,21,109
275,5,22,113
276,5,23,115
277,5,24,119
278,5,25,121
279,5,26,124
280,5,27,128
281,5,28,131
282,5,29,134
283,5,30,137
284,5,31,139
285,5,32,142
286,5,33,143
287,5,34,145
288,5,35,147
289,5,36,147
290,5,37,148
291,5,38,149
292,5,39,149
293,5,40,149
294,5,41,150
295,5,42,150
296,5,43,150
297,5,44,150
298,5,45,150
299,5,46,150
