,Experiment,N,ADC
0,0,0,15
1,0,1,23
2,0,2,27
3,0,3,31
4,0,4,38
5,0,5,43
6,0,6,47
7,0,7,53
8,0,8,57
9,0,9,62
10,0,10,63
11,0,11,70
12,0,12,75
13,0,13,79
14,0,14,83
15,0,15,87
16,0,16,91
17,0,17,95
18,0,18,98
19,0,19,102
20,0,20,105
21,0,21,109
22,0,22,112
23,0,23,115
24,0,24,119
25,0,25,121
26,0,26,124
27,0,27,128
28,0,28,131
29,0,29,135
30,0,30,137
31,0,31,139
32,0,32,142
33,0,33,143
34,0,34,145
35,0,35,147
36,0,36,147
37,0,37,148
38,0,38,149
39,0,39,149
40,0,40,149
41,0,41,150
42,0,42,150
43,0,43,150
44,0,44,150
45,0,45,150
46,0,46,150
47,0,47,151
48,0,48,151
49,0,49,151
50,0,50,151
51,0,51,151
52,1,0,15
53,1,1,23
54,1,2,27
55,1,3,31
56,1,4,38
57,1,5,43
58,1,6,47
59,1,7,53
60,1,8,57
61,1,9,62
62,1,10,63
63,1,11,70
64,1,12,75
65,1,13,79
66,1,14,83
67,1,15,87
68,1,16,91
69,1,17,95
70,1,18,98
71,1,19,102
72,1,20,105
73,1,21,109
74,1,22,112
75,1,23,115
76,1,24,119
77,1,25,121
78,1,26,124
79,1,27,128
80,1,28,131
81,1,29,135
82,1,30,137
83,1,31,139
84,1,32,142
85,1,33,143
86,1,34,145
87,1,35,147
88,1,36,147
89,1,37,148
90,1,38,149
91,1,39,149
92,1,40,149
93,1,41,150
94,1,42,150
95,1,43,150
96,1,44,150
97,1,45,150
98,1,46,150
99,1,47,151
100,1,48,151
101,1,49,151
102,1,50,151
103,1,51,151
104,2,0,15
105,2,1,23
106,2,2,27
107,2,3,31
108,2,4,38
109,2,5,43
110,2,6,47
111,2,7,53
112,2,8,57
113,2,9,62
114,2,10,63
115,2,11,70
116,2,12,75
117,2,13,79
118,2,14,83
119,2,15,87
120,2,16,91
121,2,17,95
122,2,18,98
123,2,19,102
124,2,20,105
125,2,21,109
126,2,22,112
127,2,23,115
128,2,24,119
129,2,25,121
130,2,26,124
131,2,27,128
132,2,28,131
133,2,29,135
134,2,30,137
135,2,31,139
136,2,32,142
137,2,33,143
138,2,34,145
139,2,35,147
140,2,36,147
141,2,37,148
142,2,38,149
143,2,39,149
144,2,40,149
145,2,41,150
146,2,42,150
147,2,43,150
148,2,44,150
149,2,45,150
150,2,46,150
151,2,47,151
152,2,48,151
153,2,49,151
154,3,0,15
155,3,1,23
156,3,2,27
157,3,3,31
158,3,4,38
159,3,5,43
160,3,6,47
161,3,7,53
162,3,8,57
163,3,9,62
164,3,10,63
165,3,11,70
166,3,12,75
167,3,13,79
168,3,14,83
169,3,15,87
170,3,16,91
171,3,17,95
172,3,18,98
173,3,19,102
174,3,20,105
175,3,21,109
176,3,22,112
177,3,23,115
178,3,24,119
179,3,25,121
180,3,26,124
181,3,27,128
182,3,28,131
183,3,29,135
184,3,30,137
185,3,31,139
186,3,32,142
187,3,33,143
188,3,34,145
189,3,35,147
190,3,36,147
191,3,37,148
192,3,38,149
193,3,39,149
194,3,40,149
195,3,41,150
196,3,42,150
197,3,43,150
198,3,44,150
199,3,45,150
200,3,46,150
201,3,47,151
202,3,48,151
203,3,49,151
204,4,0,15
205,4,1,23
206,4,2,27
207,4,3,31
208,4,4,38
209,4,5,43
210,4,6,47
211,4,7,53
212,4,8,57
213,4,9,62
214,4,10,63
215,4,11,70
216,4,12,75
217,4,13,79
218,4,14,83
219,4,15,87
220,4,16,91
221,4,17,95
222,4,18,98
223,4,19,102
224,4,20,105
225,4,21,109
226,4,22,112
227,4,23,115
228,4,24,119
229,4,25,121
230,4,26,124
231,4,27,128
232,4,28,131
233,4,29,135
234,4,30,137
235,4,31,139
236,4,32,142
237,4,33,143
238,4,34,145
239,4,35,147
240,4,36,147
241,4,37,148
242,4,38,149
243,4,39,149
244,4,40,149
245,4,41,150
246,4,42,150
247,4,43,150
248,4,44,150
249,4,45,150
250,4,46,150
251,5,0,15
252,5,1,23
253,5,2,27
254,5,3,31
255,5,4,38
256,5,5,43
257,5,6,47
258,5,7,53
259,5,8,57
260,5,9,62
261,5,10,63
262,5,11,70
263,5,12,75
264,5,13,79
265,5,14,83
266,5,15,87
267,5,16,91
268,5,17,95
269,5,18,98
270,5,19,102
271,5,20,105
272,5,21,109
273,5,22,112
274,5,23,115
275,5,24,119
276,5,25,121
277,5,26,124
278,5,27,128
279,5,28,131
280,5,29,135
281,5,30,137
282,5,31,139
283,5,32,142
284,5,33,143
285,5,34,145
286,5,35,147
287,5,36,147
288,5,37,148
289,5,38,149
290,5,39,149
291,5,40,149
292,5,41,150
293,5,42,150
294,5,43,150
295,5,44,150
296,5,45,150
297,5,46,150
